    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
    0         0.1           0            0            0
    1         0.2           0            0            0
    2         0.3           0            0            0
    3         0.4           0            0            0
    4         0.5           0            0            0
    5         0.6           0            0            0
    6         0.7           0            0            0
    7         0.8     0.07597    4.428e-06      0.07598
    8         0.9      0.2018    1.665e-05       0.2018
    9           1      0.3024    3.406e-05       0.3024
   10         1.1      0.3847    5.742e-05       0.3848
   11         1.2      0.4533    8.748e-05       0.4534
   12         1.3      0.5114     0.000125       0.5115
   13         1.4      0.5611    0.0001707       0.5613
   14         1.5      0.6043    0.0002253       0.6045
   15         1.6       0.642    0.0002896       0.6423
   16         1.7      0.6753    0.0003643       0.6757
   17         1.8      0.7049    0.0004501       0.7053
   18         1.9      0.7314    0.0005478       0.7319
   19           2      0.7552     0.000658       0.7559
   20         2.1      0.7768    0.0007815       0.7776
   21         2.2      0.7964     0.000919       0.7973
   22         2.3      0.8143     0.001071       0.8153
   23         2.4      0.8307     0.001239       0.8319
   24         2.5      0.8458     0.001422       0.8472
   25         2.6      0.8597     0.001623       0.8613
   26         2.7      0.8726     0.001841       0.8744
   27         2.8      0.8846     0.002077       0.8867
   28         2.9      0.8957     0.002332       0.8981
   29           3      0.9062     0.002606       0.9088
   30         3.1      0.9159     0.002901       0.9188
   31         3.2       0.925     0.003216       0.9282
   32         3.3      0.9336     0.003553       0.9371
   33         3.4      0.9417     0.003912       0.9456
   34         3.5      0.9493     0.004294       0.9536
   35         3.6      0.9565     0.004699       0.9612
   36         3.7      0.9633     0.005128       0.9684
   37         3.8      0.9697     0.005582       0.9753
   38         3.9      0.9758     0.006061       0.9819
   39           4      0.9816     0.006566       0.9882
   40         4.1      0.9871     0.007097       0.9942
   41         4.2      0.9924     0.007656            1
   42         4.3      0.9974     0.008242        1.006
   43         4.4       1.002     0.008857        1.011
   44         4.5       1.007       0.0095        1.016
   45         4.6       1.011      0.01017        1.021
   46         4.7       1.015      0.01087        1.026
   47         4.8       1.019      0.01161        1.031
   48         4.9       1.023      0.01237        1.036
   49           5       1.027      0.01317         1.04
   50         5.1        1.03      0.01399        1.044
   51         5.2       1.034      0.01485        1.049
   52         5.3       1.037      0.01575        1.053
   53         5.4        1.04      0.01667        1.057
   54         5.5       1.043      0.01763        1.061
   55         5.6       1.046      0.01863        1.065
   56         5.7       1.049      0.01966        1.069
   57         5.8       1.052      0.02072        1.073
   58         5.9       1.055      0.02182        1.076
   59           6       1.057      0.02296         1.08
   60         6.1        1.06      0.02413        1.084
   61         6.2       1.062      0.02534        1.087
   62         6.3       1.064      0.02659        1.091
   63         6.4       1.067      0.02787        1.094
   64         6.5       1.069       0.0292        1.098
   65         6.6       1.071      0.03056        1.101
   66         6.7       1.073      0.03196        1.105
   67         6.8       1.075       0.0334        1.108
   68         6.9       1.077      0.03488        1.112
   69           7       1.079      0.03639        1.115
   70         7.1        1.08      0.03795        1.118
   71         7.2       1.082      0.03955        1.122
   72         7.3       1.084      0.04119        1.125
   73         7.4       1.086      0.04287        1.129
   74         7.5       1.087      0.04459        1.132
   75         7.6       1.089      0.04635        1.135
   76         7.7        1.09      0.04815        1.139
   77         7.8       1.092      0.04999        1.142
   78         7.9       1.093      0.05187        1.145
   79           8       1.095       0.0538        1.149
   80         8.1       1.096      0.05577        1.152
   81         8.2       1.098      0.05778        1.155
   82         8.3       1.099      0.05983        1.159
   83         8.4         1.1      0.06192        1.162
   84         8.5       1.101      0.06405        1.166
   85         8.6       1.103      0.06623        1.169
   86         8.7       1.104      0.06845        1.172
   87         8.8       1.105      0.07071        1.176
   88         8.9       1.106      0.07302        1.179
   89           9       1.107      0.07536        1.183
