    N     E(MeV)   Elastic(b)   Inelastic(b) Capture(b)   Fission(b)   Total(b)
    0           1       2.567            0     2.21e-05            0        2.568
    1           2       1.816            0    2.212e-05            0        1.816
    2           3       1.998            0    2.213e-05            0        1.998
    3           4       2.055     0.002676    2.213e-05            0        2.058
    4           5        1.32      0.07539    2.362e-05            0        1.395
    5           6      0.9611       0.1821    3.444e-05            0        1.143
    6           7      0.9217       0.2721    5.331e-05            0        1.194
    7           8      0.9579       0.4024    7.236e-05            0         1.36
    8           9      0.9031       0.4752    8.332e-05            0        1.378
    9          10      0.7874       0.5095    8.124e-05            0        1.297
   10          11      0.7809       0.5143    7.185e-05            0        1.295
   11          12      0.8371       0.5021    6.053e-05            0        1.339
   12          13       0.885       0.4922    7.133e-05            0        1.377
   13          14      0.9017       0.4907    8.401e-05            0        1.393
   14          15      0.9184       0.4893    0.0001174            0        1.408
   15          16      0.9308       0.4896    0.0001591            0        1.421
   16          17       0.928       0.4962    0.0001975            0        1.424
   17          18      0.9251       0.5028    0.0002042            0        1.428
   18          19      0.9223       0.5094    0.0002108            0        1.432
   19          20      0.9222       0.5079    0.0002174            0         1.43
   20          21      0.9245       0.4992            0            0        1.424
   21          22      0.9268       0.4906            0            0        1.417
   22          23      0.9292       0.4819            0            0        1.411
   23          24      0.9315       0.4732            0            0        1.405
   24          25      0.9199       0.4659            0            0        1.386
   25          26       0.908       0.4585            0            0        1.367
   26          27      0.8962       0.4512            0            0        1.347
   27          28      0.8843       0.4438            0            0        1.328
   28          29      0.8724       0.4365            0            0        1.309
   29          30      0.8608       0.4296            0            0         1.29
   30          31      0.8498       0.4237            0            0        1.273
   31          32      0.8387       0.4177            0            0        1.256
   32          33      0.8277       0.4117            0            0        1.239
   33          34      0.8167       0.4057            0            0        1.222
   34          35      0.8056       0.3997            0            0        1.205
   35          36      0.7946       0.3937            0            0        1.188
   36          37      0.7823       0.3882            0            0        1.171
   37          38      0.7683       0.3835            0            0        1.152
   38          39      0.7543       0.3787            0            0        1.133
   39          40      0.7403       0.3739            0            0        1.114
   40          41      0.7263       0.3692            0            0        1.095
   41          42      0.7123       0.3644            0            0        1.077
   42          43      0.6983       0.3596            0            0        1.058
   43          44      0.6843       0.3549            0            0        1.039
   44          45      0.6702       0.3501            0            0         1.02
   45          46      0.6587       0.3462            0            0        1.005
   46          47      0.6475       0.3425            0            0         0.99
   47          48      0.6363       0.3388            0            0       0.9751
   48          49      0.6251        0.335            0            0       0.9602
   49          50      0.6139       0.3313            0            0       0.9452
   50          51      0.6027       0.3276            0            0       0.9303
   51          52      0.5915       0.3238            0            0       0.9154
