    N     E(MeV)   Elastic(b)   Inelastic(b) Capture(b)   Fission(b)   Total(b)
    0           1       4.243            0    3.375e-05            0        4.244
    1           2       2.898            0    3.672e-05            0        2.898
    2           3       2.274    1.164e-07    3.707e-05            0        2.274
    3           4       1.894    1.736e-06    3.626e-05            0        1.894
    4           5       1.622     4.42e-06    3.524e-05            0        1.622
    5           6       1.418    7.113e-06    3.428e-05            0        1.418
    6           7       1.254     9.61e-06    3.346e-05            0        1.254
    7           8       1.128    1.185e-05    3.276e-05            0        1.128
    8           9       1.023    1.379e-05    3.215e-05            0        1.023
    9          10      0.9324     1.54e-05     3.16e-05            0       0.9324
   10          11      0.8582    1.661e-05    3.111e-05            0       0.8583
   11          12      0.7937    1.781e-05    3.064e-05            0       0.7938
   12          13      0.7333    1.838e-05     3.02e-05            0       0.7333
   13          14      0.6881    1.885e-05    2.976e-05            0       0.6882
   14          15      0.6429    1.931e-05    2.933e-05            0        0.643
   15          16      0.6009     1.88e-05     2.89e-05            0       0.6009
   16          17      0.5697    1.759e-05    2.847e-05            0       0.5698
   17          18      0.5386    1.638e-05    2.806e-05            0       0.5387
   18          19      0.5075    1.516e-05    2.764e-05            0       0.5076
   19          20      0.4769    1.332e-05    2.722e-05            0       0.4769
   20          21      0.4467    1.058e-05            0            0       0.4467
   21          22      0.4165    7.847e-06            0            0       0.4165
   22          23      0.3863    5.112e-06            0            0       0.3863
   23          24      0.3562    2.378e-06            0            0       0.3562
   24          25      0.3434            0            0            0       0.3434
   25          26       0.331            0            0            0        0.331
   26          27      0.3186            0            0            0       0.3186
   27          28      0.3062            0            0            0       0.3062
   28          29      0.2938            0            0            0       0.2938
   29          30      0.2829            0            0            0       0.2829
   30          31      0.2746            0            0            0       0.2746
   31          32      0.2662            0            0            0       0.2662
   32          33      0.2579            0            0            0       0.2579
   33          34      0.2495            0            0            0       0.2495
   34          35      0.2412            0            0            0       0.2412
   35          36      0.2329            0            0            0       0.2329
   36          37      0.2257            0            0            0       0.2257
   37          38      0.2202            0            0            0       0.2202
   38          39      0.2146            0            0            0       0.2146
   39          40      0.2091            0            0            0       0.2091
   40          41      0.2035            0            0            0       0.2035
   41          42       0.198            0            0            0        0.198
   42          43      0.1924            0            0            0       0.1924
   43          44      0.1869            0            0            0       0.1869
   44          45      0.1813            0            0            0       0.1813
   45          46      0.1775            0            0            0       0.1775
   46          47      0.1738            0            0            0       0.1738
   47          48      0.1702            0            0            0       0.1702
   48          49      0.1666            0            0            0       0.1666
   49          50      0.1629            0            0            0       0.1629
   50          51      0.1593            0            0            0       0.1593
   51          52      0.1557            0            0            0       0.1557
   52          53       0.152            0            0            0        0.152
   53          54      0.1484            0            0            0       0.1484
   54          55      0.1448            0            0            0       0.1448
   55          56      0.1416            0            0            0       0.1416
   56          57      0.1392            0            0            0       0.1392
   57          58      0.1369            0            0            0       0.1369
   58          59      0.1345            0            0            0       0.1345
   59          60      0.1322            0            0            0       0.1322
   60          61      0.1298            0            0            0       0.1298
   61          62      0.1275            0            0            0       0.1275
   62          63      0.1252            0            0            0       0.1252
   63          64      0.1228            0            0            0       0.1228
   64          65      0.1205            0            0            0       0.1205
   65          66      0.1181            0            0            0       0.1181
   66          67      0.1158            0            0            0       0.1158
   67          68      0.1135            0            0            0       0.1135
   68          69      0.1114            0            0            0       0.1114
   69          70      0.1099            0            0            0       0.1099
   70          71      0.1084            0            0            0       0.1084
   71          72       0.107            0            0            0        0.107
   72          73      0.1055            0            0            0       0.1055
   73          74       0.104            0            0            0        0.104
   74          75      0.1025            0            0            0       0.1025
   75          76       0.101            0            0            0        0.101
   76          77     0.09957            0            0            0      0.09957
   77          78     0.09809            0            0            0      0.09809
   78          79     0.09662            0            0            0      0.09662
   79          80     0.09514            0            0            0      0.09514
   80          81     0.09366            0            0            0      0.09366
   81          82     0.09219            0            0            0      0.09219
   82          83     0.09071            0            0            0      0.09071
   83          84     0.08923            0            0            0      0.08923
   84          85     0.08789            0            0            0      0.08789
   85          86     0.08698            0            0            0      0.08698
   86          87     0.08607            0            0            0      0.08607
   87          88     0.08516            0            0            0      0.08516
   88          89     0.08425            0            0            0      0.08425
   89          90     0.08335            0            0            0      0.08335
   90          91     0.08244            0            0            0      0.08244
   91          92     0.08153            0            0            0      0.08153
   92          93     0.08062            0            0            0      0.08062
   93          94     0.07971            0            0            0      0.07971
   94          95      0.0788            0            0            0       0.0788
   95          96     0.07789            0            0            0      0.07789
   96          97     0.07698            0            0            0      0.07698
   97          98     0.07607            0            0            0      0.07607
   98          99     0.07517            0            0            0      0.07517
   99         100     0.07426            0            0            0      0.07426
  100         101     0.07335            0            0            0      0.07335
  101         102     0.07244            0            0            0      0.07244
  102         103     0.07153            0            0            0      0.07153
  103         104     0.07062            0            0            0      0.07062
  104         105     0.06986            0            0            0      0.06986
  105         106     0.06932            0            0            0      0.06932
  106         107     0.06878            0            0            0      0.06878
  107         108     0.06824            0            0            0      0.06824
  108         109      0.0677            0            0            0       0.0677
  109         110     0.06715            0            0            0      0.06715
  110         111     0.06661            0            0            0      0.06661
  111         112     0.06607            0            0            0      0.06607
  112         113     0.06553            0            0            0      0.06553
  113         114     0.06498            0            0            0      0.06498
  114         115     0.06444            0            0            0      0.06444
  115         116      0.0639            0            0            0       0.0639
  116         117     0.06336            0            0            0      0.06336
  117         118     0.06281            0            0            0      0.06281
  118         119     0.06227            0            0            0      0.06227
  119         120     0.06173            0            0            0      0.06173
  120         121     0.06119            0            0            0      0.06119
  121         122     0.06065            0            0            0      0.06065
  122         123      0.0601            0            0            0       0.0601
  123         124     0.05956            0            0            0      0.05956
  124         125     0.05902            0            0            0      0.05902
  125         126     0.05848            0            0            0      0.05848
  126         127     0.05793            0            0            0      0.05793
  127         128     0.05739            0            0            0      0.05739
  128         129     0.05685            0            0            0      0.05685
  129         130     0.05653            0            0            0      0.05653
  130         131     0.05622            0            0            0      0.05622
  131         132     0.05591            0            0            0      0.05591
  132         133      0.0556            0            0            0       0.0556
  133         134     0.05528            0            0            0      0.05528
  134         135     0.05497            0            0            0      0.05497
  135         136     0.05466            0            0            0      0.05466
  136         137     0.05435            0            0            0      0.05435
  137         138     0.05404            0            0            0      0.05404
  138         139     0.05373            0            0            0      0.05373
  139         140     0.05342            0            0            0      0.05342
  140         141     0.05311            0            0            0      0.05311
  141         142      0.0528            0            0            0       0.0528
  142         143     0.05248            0            0            0      0.05248
  143         144     0.05217            0            0            0      0.05217
  144         145     0.05186            0            0            0      0.05186
  145         146     0.05155            0            0            0      0.05155
  146         147     0.05124            0            0            0      0.05124
  147         148     0.05093            0            0            0      0.05093
  148         149     0.05062            0            0            0      0.05062
  149         150     0.05031            0            0            0      0.05031
  150         151        0.05            0            0            0         0.05
  151         152     0.04968            0            0            0      0.04968
  152         153     0.04937            0            0            0      0.04937
  153         154     0.04906            0            0            0      0.04906
  154         155     0.04875            0            0            0      0.04875
  155         156     0.04844            0            0            0      0.04844
  156         157     0.04813            0            0            0      0.04813
  157         158     0.04782            0            0            0      0.04782
  158         159     0.04751            0            0            0      0.04751
  159         160     0.04731            0            0            0      0.04731
  160         161     0.04714            0            0            0      0.04714
  161         162     0.04697            0            0            0      0.04697
  162         163      0.0468            0            0            0       0.0468
  163         164     0.04663            0            0            0      0.04663
  164         165     0.04646            0            0            0      0.04646
  165         166     0.04629            0            0            0      0.04629
  166         167     0.04612            0            0            0      0.04612
  167         168     0.04595            0            0            0      0.04595
  168         169     0.04578            0            0            0      0.04578
  169         170     0.04561            0            0            0      0.04561
  170         171     0.04544            0            0            0      0.04544
  171         172     0.04527            0            0            0      0.04527
  172         173      0.0451            0            0            0       0.0451
  173         174     0.04493            0            0            0      0.04493
  174         175     0.04477            0            0            0      0.04477
  175         176      0.0446            0            0            0       0.0446
  176         177     0.04443            0            0            0      0.04443
  177         178     0.04426            0            0            0      0.04426
  178         179     0.04409            0            0            0      0.04409
  179         180     0.04392            0            0            0      0.04392
  180         181     0.04375            0            0            0      0.04375
  181         182     0.04358            0            0            0      0.04358
  182         183     0.04341            0            0            0      0.04341
  183         184     0.04324            0            0            0      0.04324
  184         185     0.04307            0            0            0      0.04307
  185         186      0.0429            0            0            0       0.0429
  186         187     0.04273            0            0            0      0.04273
  187         188     0.04256            0            0            0      0.04256
  188         189     0.04239            0            0            0      0.04239
  189         190     0.04222            0            0            0      0.04222
  190         191     0.04205            0            0            0      0.04205
  191         192     0.04188            0            0            0      0.04188
  192         193     0.04172            0            0            0      0.04172
  193         194     0.04155            0            0            0      0.04155
  194         195     0.04138            0            0            0      0.04138
  195         196     0.04121            0            0            0      0.04121
  196         197     0.04108            0            0            0      0.04108
  197         198       0.041            0            0            0        0.041
  198         199     0.04091            0            0            0      0.04091
  199         200     0.04083            0            0            0      0.04083
  200         201     0.04074            0            0            0      0.04074
  201         202     0.04065            0            0            0      0.04065
  202         203     0.04057            0            0            0      0.04057
  203         204     0.04048            0            0            0      0.04048
  204         205      0.0404            0            0            0       0.0404
  205         206     0.04031            0            0            0      0.04031
  206         207     0.04022            0            0            0      0.04022
  207         208     0.04014            0            0            0      0.04014
  208         209     0.04005            0            0            0      0.04005
  209         210     0.03997            0            0            0      0.03997
  210         211     0.03988            0            0            0      0.03988
  211         212     0.03979            0            0            0      0.03979
  212         213     0.03971            0            0            0      0.03971
  213         214     0.03962            0            0            0      0.03962
  214         215     0.03954            0            0            0      0.03954
  215         216     0.03945            0            0            0      0.03945
  216         217     0.03936            0            0            0      0.03936
  217         218     0.03928            0            0            0      0.03928
  218         219     0.03919            0            0            0      0.03919
  219         220     0.03911            0            0            0      0.03911
  220         221     0.03902            0            0            0      0.03902
  221         222     0.03893            0            0            0      0.03893
  222         223     0.03885            0            0            0      0.03885
  223         224     0.03876            0            0            0      0.03876
  224         225     0.03868            0            0            0      0.03868
  225         226     0.03859            0            0            0      0.03859
  226         227      0.0385            0            0            0       0.0385
  227         228     0.03842            0            0            0      0.03842
  228         229     0.03833            0            0            0      0.03833
  229         230     0.03825            0            0            0      0.03825
  230         231     0.03816            0            0            0      0.03816
  231         232     0.03807            0            0            0      0.03807
  232         233     0.03799            0            0            0      0.03799
  233         234      0.0379            0            0            0       0.0379
  234         235     0.03782            0            0            0      0.03782
  235         236     0.03773            0            0            0      0.03773
  236         237     0.03764            0            0            0      0.03764
  237         238     0.03756            0            0            0      0.03756
  238         239     0.03747            0            0            0      0.03747
  239         240     0.03739            0            0            0      0.03739
  240         241      0.0373            0            0            0       0.0373
  241         242     0.03721            0            0            0      0.03721
  242         243     0.03715            0            0            0      0.03715
  243         244      0.0371            0            0            0       0.0371
  244         245     0.03704            0            0            0      0.03704
  245         246     0.03699            0            0            0      0.03699
  246         247     0.03694            0            0            0      0.03694
  247         248     0.03688            0            0            0      0.03688
  248         249     0.03683            0            0            0      0.03683
  249         250     0.03678            0            0            0      0.03678
  250         251     0.03673            0            0            0      0.03673
  251         252     0.03667            0            0            0      0.03667
  252         253     0.03662            0            0            0      0.03662
  253         254     0.03657            0            0            0      0.03657
  254         255     0.03651            0            0            0      0.03651
  255         256     0.03646            0            0            0      0.03646
  256         257     0.03641            0            0            0      0.03641
  257         258     0.03636            0            0            0      0.03636
  258         259      0.0363            0            0            0       0.0363
  259         260     0.03625            0            0            0      0.03625
  260         261      0.0362            0            0            0       0.0362
  261         262     0.03614            0            0            0      0.03614
  262         263     0.03609            0            0            0      0.03609
  263         264     0.03604            0            0            0      0.03604
  264         265     0.03599            0            0            0      0.03599
  265         266     0.03593            0            0            0      0.03593
  266         267     0.03588            0            0            0      0.03588
  267         268     0.03583            0            0            0      0.03583
  268         269     0.03577            0            0            0      0.03577
  269         270     0.03572            0            0            0      0.03572
  270         271     0.03567            0            0            0      0.03567
  271         272     0.03562            0            0            0      0.03562
  272         273     0.03556            0            0            0      0.03556
  273         274     0.03551            0            0            0      0.03551
  274         275     0.03546            0            0            0      0.03546
  275         276      0.0354            0            0            0       0.0354
  276         277     0.03535            0            0            0      0.03535
  277         278      0.0353            0            0            0       0.0353
  278         279     0.03525            0            0            0      0.03525
  279         280     0.03519            0            0            0      0.03519
  280         281     0.03514            0            0            0      0.03514
  281         282     0.03509            0            0            0      0.03509
  282         283     0.03503            0            0            0      0.03503
  283         284     0.03498            0            0            0      0.03498
  284         285     0.03493            0            0            0      0.03493
  285         286     0.03488            0            0            0      0.03488
  286         287     0.03482            0            0            0      0.03482
  287         288     0.03477            0            0            0      0.03477
  288         289     0.03472            0            0            0      0.03472
  289         290     0.03466            0            0            0      0.03466
  290         291     0.03461            0            0            0      0.03461
  291         292     0.03456            0            0            0      0.03456
  292         293     0.03451            0            0            0      0.03451
  293         294     0.03445            0            0            0      0.03445
  294         295      0.0344            0            0            0       0.0344
  295         296     0.03435            0            0            0      0.03435
  296         297      0.0343            0            0            0       0.0343
  297         298     0.03424            0            0            0      0.03424
  298         299     0.03419            0            0            0      0.03419
  299         300     0.03417            0            0            0      0.03417
  300         301     0.03416            0            0            0      0.03416
  301         302     0.03415            0            0            0      0.03415
  302         303     0.03413            0            0            0      0.03413
  303         304     0.03412            0            0            0      0.03412
  304         305     0.03411            0            0            0      0.03411
  305         306     0.03409            0            0            0      0.03409
  306         307     0.03408            0            0            0      0.03408
  307         308     0.03407            0            0            0      0.03407
  308         309     0.03405            0            0            0      0.03405
  309         310     0.03404            0            0            0      0.03404
  310         311     0.03403            0            0            0      0.03403
  311         312     0.03402            0            0            0      0.03402
  312         313       0.034            0            0            0        0.034
  313         314     0.03399            0            0            0      0.03399
  314         315     0.03398            0            0            0      0.03398
  315         316     0.03396            0            0            0      0.03396
  316         317     0.03395            0            0            0      0.03395
  317         318     0.03394            0            0            0      0.03394
  318         319     0.03392            0            0            0      0.03392
  319         320     0.03391            0            0            0      0.03391
  320         321      0.0339            0            0            0       0.0339
  321         322     0.03388            0            0            0      0.03388
  322         323     0.03387            0            0            0      0.03387
  323         324     0.03386            0            0            0      0.03386
  324         325     0.03384            0            0            0      0.03384
  325         326     0.03383            0            0            0      0.03383
  326         327     0.03382            0            0            0      0.03382
  327         328      0.0338            0            0            0       0.0338
  328         329     0.03379            0            0            0      0.03379
  329         330     0.03378            0            0            0      0.03378
  330         331     0.03377            0            0            0      0.03377
  331         332     0.03375            0            0            0      0.03375
  332         333     0.03374            0            0            0      0.03374
  333         334     0.03373            0            0            0      0.03373
  334         335     0.03371            0            0            0      0.03371
  335         336      0.0337            0            0            0       0.0337
  336         337     0.03369            0            0            0      0.03369
  337         338     0.03367            0            0            0      0.03367
  338         339     0.03366            0            0            0      0.03366
